유형,지역(구),단지명(명칭),공급유형,신청유형,보증금(원),월임대료(원)
역세권청년주택(공공임대),광진구,옥산그린타워,대학생,16,21320000,90000
역세권청년주택(공공임대),광진구,옥산그린타워,청년,16,22580000,100000
역세권청년주택(공공임대),광진구,옥산그린타워,청년,32B(셰어형),17720000,70000
역세권청년주택(공공임대),광진구,옥산그린타워,신혼부부,32A,35400000,140000
역세권청년주택(공공임대),서대문구,어바니엘 위드 더 스타일,대학생,16,16560000,70000
역세권청년주택(공공임대),서대문구,어바니엘 위드 더 스타일,청년,17,19120000,80000
역세권청년주택(공공임대),서대문구,어바니엘 위드 더 스타일,신혼부부,35A,40360000,160000
역세권청년주택(공공임대),서대문구,어바니엘 위드 더 스타일,신혼부부,35B,40920000,160000
역세권청년주택(공공임대),성동구,U-삼진랜드,대학생,14,16320000,56000
역세권청년주택(공공임대),성동구,U-삼진랜드,청년,14,17280000,59000
역세권청년주택(공공임대),마포구,효성해링턴타워,대학생,17,24200000,81000
역세권청년주택(공공임대),마포구,효성해링턴타워,청년,17,25630000,86000
역세권청년주택(공공임대),마포구,효성해링턴타워,청년,37B(셰어형),23760000,79000
역세권청년주택(공공임대),마포구,효성해링턴타워,청년,37B(셰어형),23760000,0
역세권청년주택(공공임대),마포구,효성해링턴타워,신혼부부,37A,52800000,176000
역세권청년주택(공공임대),종로구,영하우스,대학생,16,16320000,57000
역세권청년주택(공공임대),종로구,영하우스,대학생,18,17130000,60000
역세권청년주택(공공임대),종로구,영하우스,대학생,20,17140000,61000
역세권청년주택(공공임대),종로구,영하우스,대학생,21,18080000,63000
역세권청년주택(공공임대),종로구,영하우스,청년,16,17280000,60000
역세권청년주택(공공임대),종로구,영하우스,청년,18,18140000,63000
역세권청년주택(공공임대),종로구,영하우스,청년,20,18430000,65000
역세권청년주택(공공임대),종로구,영하우스,청년,22,19150000,67000
역세권청년주택(공공임대),종로구,영하우스,신혼부부,41,36000000,126000
역세권청년주택(공공임대),강서구,아임 2030,대학생,15,18630000,61000
역세권청년주택(공공임대),강서구,아임 2030,청년,15,19720000,64000
역세권청년주택(공공임대),강서구,센터스퀘어 등촌,대학생,18,26920000,88000
역세권청년주택(공공임대),강서구,센터스퀘어 등촌,청년,18,28510000,93000
역세권청년주택(공공임대),동작구,더 클래식 동작,대학생,16,33040000,102000
역세권청년주택(공공임대),동작구,더 클래식 동작,청년,16,34990000,108000
행복주택,강북구,미아동159-29,청년,16,23040000,77000
행복주택,강북구,미아동159-29,청년,21,29520000,99000
행복주택,강북구,미아동159-29,청년,29,41760000,139000
행복주택,강북구,미아동791-1614,청년,24,29160000,97000
행복주택,강북구,미아동791-1614,청년,26,29160000,97000
행복주택,강북구,미아동791-1614,청년,27,29160000,97000
행복주택,강북구,미아동791-1614,청년,29,33120000,110000
행복주택,강북구,미아동791-1614,청년,33,33120000,110000
